productId,productName,category,subcategory,brand,description,price,discountPercentage,finalPrice,averageRating,reviewCount,stockQuantity,inStock,color,size,viewCount,purchaseCount,wishlistCount,isPrimeEligible
PROD0000000,Modern Educational 515,Books,Educational,Penguin,High-quality Books product. Educational with excellent features for daily use.,79.2,20,63.36,4.3,89,10,True,Multi,L,28,40,11,True
PROD0000001,Classic Gym Equipment 476,Sports_Fitness,Gym_Equipment,Decathlon,High-quality Sports_Fitness product. Gym Equipment with excellent features for daily use.,406.77,0,406.77,3.6,80,50,True,Red,XL,41,34,2,True
PROD0000002,Smart Decor 262,Home_Kitchen,Decor,IKEA,High-quality Home_Kitchen product. Decor with excellent features for daily use.,565.86,0,565.86,3.1,148,100,True,NA,NA,202,1,1,True
PROD0000003,Classic Gym Equipment 161,Sports_Fitness,Gym_Equipment,Nike,High-quality Sports_Fitness product. Gym Equipment with excellent features for daily use.,692.25,20,553.8,2.6,177,10,True,Red,L,309,17,4,True
PROD0000004,Smart Yoga 397,Sports_Fitness,Yoga,Nike,High-quality Sports_Fitness product. Yoga with excellent features for daily use.,1659.28,10,1493.35,3.9,33,10,True,Blue,XL,49,30,13,False
PROD0000005,Smart Mens Wear 516,Fashion,Mens_Wear,Zara,High-quality Fashion product. Mens Wear with excellent features for daily use.,24532.82,20,19626.26,3.3,7,0,False,Red,NA,305,20,46,False
PROD0000006,Elite Furniture 693,Home_Kitchen,Furniture,IKEA,High-quality Home_Kitchen product. Furniture with excellent features for daily use.,3491.19,20,2792.95,2.5,2,10,True,Blue,NA,103,26,25,True
PROD0000007,Classic Furniture 187,Home_Kitchen,Furniture,IKEA,High-quality Home_Kitchen product. Furniture with excellent features for daily use.,13468.01,10,12121.21,2.8,36,100,True,Black,S,40,11,8,True
PROD0000008,Premium Appliances 729,Home_Kitchen,Appliances,Bosch,High-quality Home_Kitchen product. Appliances with excellent features for daily use.,4671.83,20,3737.46,2.7,69,50,True,Multi,XL,141,3,2,False
PROD0000009,Classic Yoga 197,Sports_Fitness,Yoga,Nike,High-quality Sports_Fitness product. Yoga with excellent features for daily use.,1871.42,20,1497.14,4.2,106,500,True,White,S,609,47,29,True
PROD0000010,Pro Educational 412,Books,Educational,Penguin,High-quality Books product. Educational with excellent features for daily use.,3861.87,20,3089.5,4.4,38,100,True,Red,XL,937,31,33,True
PROD0000011,Pro Bedding 218,Home_Kitchen,Bedding,IKEA,High-quality Home_Kitchen product. Bedding with excellent features for daily use.,1962.64,0,1962.64,3.6,90,50,True,Multi,L,256,36,5,True
PROD0000012,Classic Outdoor 497,Sports_Fitness,Outdoor,Decathlon,High-quality Sports_Fitness product. Outdoor with excellent features for daily use.,2869.41,10,2582.47,4.4,57,10,True,Multi,NA,46,10,71,False
PROD0000013,Elite Footwear 165,Fashion,Footwear,Nike,High-quality Fashion product. Footwear with excellent features for daily use.,2567.59,30,1797.31,2.1,74,50,True,Multi,S,100,7,7,False
PROD0000014,Premium Fiction 200,Books,Fiction,HarperCollins,High-quality Books product. Fiction with excellent features for daily use.,926.24,10,833.62,4.8,7,50,True,White,L,187,19,3,True
PROD0000015,Pro Footwear 852,Fashion,Footwear,Levis,High-quality Fashion product. Footwear with excellent features for daily use.,225.83,10,203.25,4.8,59,50,True,White,L,184,13,100,True
PROD0000016,Modern Fiction 483,Books,Fiction,Penguin,High-quality Books product. Fiction with excellent features for daily use.,189.84,10,170.86,2.9,48,0,False,Blue,XL,195,15,11,False
PROD0000017,Smart Outdoor 651,Sports_Fitness,Outdoor,Nike,High-quality Sports_Fitness product. Outdoor with excellent features for daily use.,502.44,30,351.71,3.1,48,10,True,Multi,S,102,13,6,True
PROD0000018,Classic Smartphones 507,Electronics,Smartphones,OnePlus,High-quality Electronics product. Smartphones with excellent features for daily use.,521.46,20,417.17,3.8,34,100,True,Blue,L,147,53,72,True
PROD0000019,Elite Fiction 629,Books,Fiction,HarperCollins,High-quality Books product. Fiction with excellent features for daily use.,671.04,30,469.73,3.9,11,50,True,Red,L,66,31,16,True
PROD0000020,Modern Footwear 623,Fashion,Footwear,Levis,High-quality Fashion product. Footwear with excellent features for daily use.,18697.4,0,18697.4,3.2,0,0,False,Blue,M,266,21,4,True
PROD0000021,Elite Gym Equipment 110,Sports_Fitness,Gym_Equipment,Decathlon,High-quality Sports_Fitness product. Gym Equipment with excellent features for daily use.,6999.17,30,4899.42,2.8,22,500,True,Multi,M,266,157,54,False
PROD0000022,Modern Non Fiction 138,Books,Non_Fiction,Penguin,High-quality Books product. Non Fiction with excellent features for daily use.,27688.68,30,19382.08,2.1,68,500,True,NA,S,120,68,9,True
PROD0000023,Pro Headphones 586,Electronics,Headphones,Samsung,High-quality Electronics product. Headphones with excellent features for daily use.,1738.98,10,1565.08,3.9,83,10,True,White,NA,40,41,0,False
PROD0000024,Modern Cameras 566,Electronics,Cameras,Sony,High-quality Electronics product. Cameras with excellent features for daily use.,305.73,20,244.58,3.2,67,0,False,Multi,S,252,12,54,False
PROD0000025,Smart Decor 242,Home_Kitchen,Decor,Bosch,High-quality Home_Kitchen product. Decor with excellent features for daily use.,1557.03,10,1401.33,3.6,38,100,True,White,XL,140,46,46,False
PROD0000026,Smart Appliances 781,Home_Kitchen,Appliances,Bosch,High-quality Home_Kitchen product. Appliances with excellent features for daily use.,804.21,20,643.37,3.5,26,500,True,NA,M,146,44,6,True
PROD0000027,Modern Mens Wear 731,Fashion,Mens_Wear,Nike,High-quality Fashion product. Mens Wear with excellent features for daily use.,8586.42,10,7727.78,3.8,120,10,True,NA,XL,181,20,3,True
PROD0000028,Classic Educational 861,Books,Educational,Penguin,High-quality Books product. Educational with excellent features for daily use.,13599.2,30,9519.44,3.8,136,100,True,NA,M,100,6,5,True
PROD0000029,Modern Non Fiction 849,Books,Non_Fiction,Penguin,High-quality Books product. Non Fiction with excellent features for daily use.,215.97,10,194.37,1.4,6,100,True,White,S,236,3,16,True
PROD0000030,Modern Appliances 908,Home_Kitchen,Appliances,IKEA,High-quality Home_Kitchen product. Appliances with excellent features for daily use.,6415.71,10,5774.14,3.4,9,10,True,Red,S,430,14,2,False
PROD0000031,Premium Non Fiction 451,Books,Non_Fiction,HarperCollins,High-quality Books product. Non Fiction with excellent features for daily use.,7200.29,10,6480.26,2.8,102,50,True,Red,L,19,31,72,True
PROD0000032,Smart Non Fiction 903,Books,Non_Fiction,HarperCollins,High-quality Books product. Non Fiction with excellent features for daily use.,12433.23,0,12433.23,3.3,9,10,True,Blue,NA,267,20,9,False
PROD0000033,Pro Laptops 247,Electronics,Laptops,Sony,High-quality Electronics product. Laptops with excellent features for daily use.,5998.67,10,5398.8,3.4,138,0,False,White,XL,533,16,3,True
PROD0000034,Smart Decor 440,Home_Kitchen,Decor,IKEA,High-quality Home_Kitchen product. Decor with excellent features for daily use.,77.79,10,70.01,1.8,4,500,True,Multi,NA,33,9,46,True
PROD0000035,Smart Yoga 288,Sports_Fitness,Yoga,Reebok,High-quality Sports_Fitness product. Yoga with excellent features for daily use.,3841.45,0,3841.45,2.3,10,10,True,Blue,S,415,51,79,True
